ID	Mentawai	Commons	IPA	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
107	eikoij	e i k o:i	ɛ i k oːi̯	dit en dat	this and that		NA	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
108	mefoeschoe	m e f u s u	m ɛ f u ʃ u	zwart	black	BLACK	163	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
109	meboelau	m e b u l a u	m ɛ b u l a u	wit	white	WHITE	1335	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
110	maboogat	m a b o o g a t	m a b o o ɡ a t	rood	red	RED	156	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
111	maliemoen	m a l i m u n	m a l i m u n	groen	green	GREEN	1425	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
112	makinoe	m a k i n u	m a k i n u	geel	yellow	YELLOW	1424	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
113	mesoerau	m e s u r a u	m ɛ s u r a u	blaauw	blue	BLUE	837	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
114	mopatoh	m o p a t o '	m o p a t o ʔ	klaar	ready	READY	790	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
115	mogebgeb	m o g e b g e b	m o ɡ ɛ b ɡ ɛ b	donker	dark	DARK	706	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
116	mopatoh	m o p a t o '	m o p a t o ʔ	dag	day	DAY (NOT NIGHT)	1225	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
117	moschebo	m o s e b o	m o ʃ ɛ b o	nacht	night	NIGHT	1233	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
118	soeloeh	s u l u '	s u l u ʔ	zon	sun	SUN	1343	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
119	lakko	l a k k o	l a k k o	maan	moon	MOON	1313	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
120	pinjangang	p i n y a ng a ng	p i n j a ŋ a ŋ	ster	star	STAR	1430	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
121	benoea	b e n u a	b ɛ n u a	hemel	sky	SKY	1732	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
122	oerat	u r a t	u r a t	regen	rain	RAINING OR RAIN	2108	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
123	roesah	r u s a '	r u s a ʔ	wind	wind	WIND	960	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
124	lalehgoe	l a l e ' g u	l a l ɛ ʔ ɡ u	donder	thunder	THUNDER	1150	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
125	moboesetbenoea	m o b u s e t b e n u a	m o b u s ɛ t b ɛ n u a	bliksem	lightning	LIGHTNING	1654	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
126	enggoij	e ng g o:i	ɛ ŋ ɡ oːi̯	aarde	earth	EARTH (SOIL)	1228	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
127	oinan	o i n a n	o i n a n	water	water	WATER	948	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
128	aloetet	a l u t e t	a l u t ɛ t	vuur	fire	FIRE	221	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
