ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CommonTranscription
Mentawai-66_short-1,67,Mentawai,66_short,tete,tete,t ɛ t ɛ,,VonRosenberg1853,,,^ t e t e $,default,tete
Mentawai-67_heavy-1,68,Mentawai,67_heavy,mesanne,mesanne,m ɛ s a n n ɛ,,VonRosenberg1853,,,^ m e s a n n e $,default,mesanne
Mentawai-68_lying-1,69,Mentawai,68_lying,menangka,menangka,m ɛ n a ŋ k a,,VonRosenberg1853,,,^ m e n a ng k a $,default,menangka
Mentawai-69_wide-1,70,Mentawai,69_wide,alia,alia,a l i a,,VonRosenberg1853,,,^ a l i a $,default,alia
Mentawai-70_high-1,71,Mentawai,70_high,naboeak,naboeak,n a b u a k,,VonRosenberg1853,,,^ n a b oe a k $,default,nabuak
Mentawai-71_low-1,72,Mentawai,71_low,metaleb,metaleb,m ɛ t a l ɛ b,,VonRosenberg1853,,,^ m e t a l e b $,default,metaleb
Mentawai-72_deep-1,73,Mentawai,72_deep,keëroe,keëroe,k ɛ <<ë>> r u,,VonRosenberg1853,,,^ k e <ë> r oe $,default,ke'eru
Mentawai-73_fine-1,74,Mentawai,73_fine,meninim,meninim,m ɛ n i n i m,,VonRosenberg1853,,,^ m e n i n i m $,default,meninim
Mentawai-74_coarse-1,75,Mentawai,74_coarse,mkabejoean,mkabejoean,m k a b ɛ j u a n,,VonRosenberg1853,,,^ m k a b e j oe a n $,default,mkabeyuan
Mentawai-75_clean-1,76,Mentawai,75_clean,mehroe,mehroe,m ɛ h r u,,VonRosenberg1853,,,^ m e h r oe $,default,mehru
Mentawai-76_ugly-1,77,Mentawai,76_ugly,tamehroe,tamehroe,t a m ɛ h r u,,VonRosenberg1853,,,^ t a m e h r oe $,default,tamehru
Mentawai-77_far-1,78,Mentawai,77_far,arehjoe,arehjoe,a r ɛ h j u,,VonRosenberg1853,,,^ a r e h j oe $,default,are'yu
Mentawai-78_near-1,79,Mentawai,78_near,melekre,melekre,m ɛ l ɛ k r ɛ,,VonRosenberg1853,,,^ m e l e k r e $,default,melekre
Mentawai-79_thick-1,80,Mentawai,79_thick,kepoe,kepoe,k ɛ p u,,VonRosenberg1853,,,^ k e p oe $,default,kepu
Mentawai-80_thin-1,81,Mentawai,80_thin,menimpie,menimpie,m ɛ n i m p i,,VonRosenberg1853,,,^ m e n i m p ie $,default,menimpi
Mentawai-81_sweet-1,82,Mentawai,81_sweet,moekeikei,moekeikei,m u k ɛ i k ɛ i,,VonRosenberg1853,,,^ m oe k e i k e i $,default,mukeikei
Mentawai-82_sour-1,83,Mentawai,82_sour,melagah,melagah,m ɛ l a ɡ a ʔ,,VonRosenberg1853,,,^ m e l a g a h$,default,melaga'
Mentawai-83_bitter-1,84,Mentawai,83_bitter,mohpognie,mohpognie,m o h p o ɡ n i,,VonRosenberg1853,,,^ m o h p o g n ie $,default,mohpogni
Mentawai-84_hard-1,85,Mentawai,84_hard,mekello,mekello,m ɛ k ɛ l l o,,VonRosenberg1853,,,^ m e k e l l o $,default,mekello
Mentawai-85_soft-1,86,Mentawai,85_soft,mahmehme,mahmehme,m a h m ɛ h m ɛ,,VonRosenberg1853,,,^ m a h m e h m e $,default,mahmehme
Mentawai-86_hot-1,87,Mentawai,86_hot,meroket,meroket,m ɛ r o k ɛ t,,VonRosenberg1853,,,^ m e r o k e t $,default,meroket
Mentawai-87_cold-1,88,Mentawai,87_cold,melebet,melebet,m ɛ l ɛ b ɛ t,,VonRosenberg1853,,,^ m e l e b e t $,default,melebet
Mentawai-88_diligently-1,89,Mentawai,88_diligently,menggamang,menggamang,m ɛ ŋ ɡ a m a ŋ,,VonRosenberg1853,,,^ m e ng g a m a ng $,default,menggamang
Mentawai-89_lazy-1,90,Mentawai,89_lazy,mobehlie,mobehlie,m o b ɛ h l i,,VonRosenberg1853,,,^ m o b e h l ie $,default,mobehli
Mentawai-90_stinking-1,91,Mentawai,90_stinking,meboeted,meboeted,m ɛ b u t ɛ d,,VonRosenberg1853,,,^ m e b oe t e d $,default,mebuted
Mentawai-91_enough-1,92,Mentawai,91_enough,tjeeget,tjeeget,t͡ʒ ɛ ɛ ɡ ɛ t,,VonRosenberg1853,,,^ tj e e g e t $,default,ceeget
Mentawai-92_notenough-1,93,Mentawai,92_notenough,tabettjeeget,tabettjeeget,t a b ɛ t t͡ʒ ɛ ɛ ɡ ɛ t,,VonRosenberg1853,,,^ t a b e t tj e e g e t $,default,tabetceeget
Mentawai-93_inside-1,94,Mentawai,93_inside,kapagaa,kapagaa,k a p a ɡ a a,,VonRosenberg1853,,,^ k a p a g a a $,default,kapagaa
Mentawai-94_outside-1,95,Mentawai,94_outside,kapatoh,kapatoh,k a p a t o ʔ,,VonRosenberg1853,,,^ k a p a t o h$,default,kapato'
Mentawai-95_tired-1,96,Mentawai,95_tired,meschako,meschako,m ɛ ʃ a k o,,VonRosenberg1853,,,^ m e sch a k o $,default,mesako
Mentawai-96_silent-1,97,Mentawai,96_silent,mahmeng,mahmeng,m a h m ɛ ŋ,,VonRosenberg1853,,,^ m a h m e ng $,default,mahmeng
Mentawai-97_sick-1,98,Mentawai,97_sick,mobehsie,mobehsie,m o b ɛ h s i,,VonRosenberg1853,,,^ m o b e h s ie $,default,mobehsi
Mentawai-98_yes-1,99,Mentawai,98_yes,onon,onon,o n o n,,VonRosenberg1853,,,^ o n o n $,default,onon
Mentawai-99_no-1,100,Mentawai,99_no,taneij,taneij,t a n ɛi̯,,VonRosenberg1853,,,^ t a n eij $,default,tane:i
Mentawai-100_me-1,101,Mentawai,100_me,kei,kei,k ɛ i,,VonRosenberg1853,,,^ k e i $,default,kei
Mentawai-101_thou-1,102,Mentawai,101_thou,kam,kam,k a m,,VonRosenberg1853,,,^ k a m $,default,kam
Mentawai-102_he-1,103,Mentawai,102_he,kassia,kassia,k a s s i a,,VonRosenberg1853,,,^ k a s s i a $,default,kassia
Mentawai-103_my-1,104,Mentawai,103_my,akoesebakatnija,akoesebakatnija,a k u s ɛ b a k a t n i j a,,VonRosenberg1853,,,^ a k oe s e b a k a t n i j a $,default,akusebakatniya
Mentawai-104_his-1,105,Mentawai,104_his,kamsebakatnija,kamsebakatnija,k a m s ɛ b a k a t n i j a,,VonRosenberg1853,,,^ k a m s e b a k a t n i j a $,default,kamsebakatniya
Mentawai-105_here-1,106,Mentawai,105_here,keijlejoe,keijlejoe,k ɛi̯ l ɛ j u,,VonRosenberg1853,,,^ k eij l e j oe $,default,ke:ileyu
Mentawai-106_thisandthat-1,107,Mentawai,106_thisandthat,eikoij,eikoij,ɛ i k oːi̯,,VonRosenberg1853,,,^ e i k oij$,default,eiko:i
Mentawai-107_black-1,108,Mentawai,107_black,mefoeschoe,mefoeschoe,m ɛ f u ʃ u,,VonRosenberg1853,,,^ m e f oe sch oe $,default,mefusu
Mentawai-108_white-1,109,Mentawai,108_white,meboelau,meboelau,m ɛ b u l a u,,VonRosenberg1853,,,^ m e b oe l a u $,default,mebulau
Mentawai-109_red-1,110,Mentawai,109_red,maboogat,maboogat,m a b o o ɡ a t,,VonRosenberg1853,,,^ m a b o o g a t $,default,maboogat
Mentawai-110_green-1,111,Mentawai,110_green,maliemoen,maliemoen,m a l i m u n,,VonRosenberg1853,,,^ m a l ie m oe n $,default,malimun
Mentawai-111_yellow-1,112,Mentawai,111_yellow,makinoe,makinoe,m a k i n u,,VonRosenberg1853,,,^ m a k i n oe $,default,makinu
Mentawai-112_blue-1,113,Mentawai,112_blue,mesoerau,mesoerau,m ɛ s u r a u,,VonRosenberg1853,,,^ m e s oe r a u $,default,mesurau
Mentawai-113_ready-1,114,Mentawai,113_ready,mopatoh,mopatoh,m o p a t o ʔ,,VonRosenberg1853,,,^ m o p a t o h$,default,mopato'
Mentawai-114_dark-1,115,Mentawai,114_dark,mogebgeb,mogebgeb,m o ɡ ɛ b ɡ ɛ b,,VonRosenberg1853,,,^ m o g e b g e b $,default,mogebgeb
Mentawai-115_day-1,116,Mentawai,115_day,mopatoh,mopatoh,m o p a t o ʔ,,VonRosenberg1853,,,^ m o p a t o h$,default,mopato'
Mentawai-116_night-1,117,Mentawai,116_night,moschebo,moschebo,m o ʃ ɛ b o,,VonRosenberg1853,,,^ m o sch e b o $,default,mosebo
Mentawai-117_sun-1,118,Mentawai,117_sun,soeloeh,soeloeh,s u l u ʔ,,VonRosenberg1853,,,^ s oe l oe h$,default,sulu'
Mentawai-118_moon-1,119,Mentawai,118_moon,lakko,lakko,l a k k o,,VonRosenberg1853,,,^ l a k k o $,default,lakko
Mentawai-119_star-1,120,Mentawai,119_star,pinjangang,pinjangang,p i n j a ŋ a ŋ,,VonRosenberg1853,,,^ p i n j a ng a ng $,default,pinyangang
Mentawai-120_sky-1,121,Mentawai,120_sky,benoea,benoea,b ɛ n u a,,VonRosenberg1853,,,^ b e n oe a $,default,benua
Mentawai-121_rain-1,122,Mentawai,121_rain,oerat,oerat,u r a t,,VonRosenberg1853,,,^ oe r a t $,default,urat
Mentawai-122_wind-1,123,Mentawai,122_wind,roesah,roesah,r u s a ʔ,,VonRosenberg1853,,,^ r oe s a h$,default,rusa'
Mentawai-123_thunder-1,124,Mentawai,123_thunder,lalehgoe,lalehgoe,l a l ɛ h ɡ u,,VonRosenberg1853,,,^ l a l e h g oe $,default,lale'gu
Mentawai-124_lightning-1,125,Mentawai,124_lightning,moboesetbenoea,moboesetbenoea,m o b u s ɛ t b ɛ n u a,,VonRosenberg1853,,,^ m o b oe s e t b e n oe a $,default,mobusetbenua
Mentawai-125_earth-1,126,Mentawai,125_earth,enggoij,enggoij,ɛ ŋ ɡ oːi̯,,VonRosenberg1853,,,^ e ng g oij$,default,enggo:i
Mentawai-126_water-1,127,Mentawai,126_water,oinan,oinan,o i n a n,,VonRosenberg1853,,,^ o i n a n $,default,oinan
Mentawai-127_fire-1,128,Mentawai,127_fire,aloetet,aloetet,a l u t ɛ t,,VonRosenberg1853,,,^ a l oe t e t $,default,alutet
Mentawai-128_river-1,129,Mentawai,128_river,oeka akeh,oeka akeh,u k a + a k ɛ ʔ,,VonRosenberg1853,,,^ oe k a + a k e h$,default,uka ake'
Mentawai-129_mountain-1,130,Mentawai,129_mountain,lehlejoe,lehlejoe,l ɛ h l ɛ j u,,VonRosenberg1853,,,^ l e h l e j oe $,default,lehleyu
Mentawai-130_island-1,131,Mentawai,130_island,liboet,liboet,l i b u t,,VonRosenberg1853,,,^ l i b oe t $,default,libut
Mentawai-131_stone-1,132,Mentawai,131_stone,boekko,boekko,b u k k o,,VonRosenberg1853,,,^ b oe k k o $,default,bukko
Mentawai-132_seabeach-1,133,Mentawai,132_seabeach,behbehkwat,behbehkwat,b ɛ h b ɛ h k w a t,,VonRosenberg1853,,,^ b e h b e h k w a t $,default,be'behkwat
Mentawai-133_sand-1,134,Mentawai,133_sand,boekei,boekei,b u k ɛ i,,VonRosenberg1853,,,^ b oe k e i $,default,bukei
Mentawai-134_sea-1,135,Mentawai,134_sea,koat,koat,k o a t,,VonRosenberg1853,,,^ k o a t $,default,koat
Mentawai-135_rock-1,136,Mentawai,135_rock,oeneij,oeneij,u n ɛi̯,,VonRosenberg1853,,,^ oe n eij $,default,une:i
Mentawai-136_flint-1,137,Mentawai,136_flint,taiteij,taiteij,t a i t ɛi̯,,VonRosenberg1853,,,^ t a i t eij $,default,taite:i
Mentawai-137_yzer-1,138,Mentawai,137_yzer,lahba,lahba,l a h b a,,VonRosenberg1853,,,^ l a h b a $,default,la'ba
Mentawai-138_copper-1,139,Mentawai,138_copper,latjo,latjo,l a t͡ʒ o,,VonRosenberg1853,,,^ l a tj o $,default,laco
Mentawai-139_polishedmetal-1,140,Mentawai,139_polishedmetal,boelagat,boelagat,b u l a ɡ a t,,VonRosenberg1853,,,^ b oe l a g a t $,default,bulagat
Mentawai-140_tree-1,141,Mentawai,140_tree,bakan,bakan,b a k a n,,VonRosenberg1853,,,^ b a k a n $,default,bakan
Mentawai-141_coconuttree-1,142,Mentawai,141_coconuttree,toitet,toitet,t o i t ɛ t,,VonRosenberg1853,,,^ t o i t e t $,default,toitet
Mentawai-142_sagopalm-1,143,Mentawai,142_sagopalm,sageij,sageij,s a ɡ ɛi̯,,VonRosenberg1853,,,^ s a g eij $,default,sage:i
Mentawai-143_pinang-1,144,Mentawai,143_pinang,pakau,pakau,p a k a u,,VonRosenberg1853,,,^ p a k a u $,default,pakau
Mentawai-144_nibong-1,145,Mentawai,144_nibong,alieboek,alieboek,a l i b u k,,VonRosenberg1853,,,^ a l ie b oe k $,default,alibuk
Mentawai-145_pisang-1,146,Mentawai,145_pisang,bako,bako,b a k o,,VonRosenberg1853,,,^ b a k o $,default,bako
Mentawai-146_sugarcane-1,147,Mentawai,146_sugarcane,koleh,koleh,k o l ɛ ʔ,,VonRosenberg1853,,,^ k o l e h$,default,kole'
Mentawai-147_longheadedpalm-1,148,Mentawai,147_longheadedpalm,poolah,poolah,p o o l a ʔ,,VonRosenberg1853,,,^ p o o l a h$,default,poola'
Mentawai-148_arum-1,149,Mentawai,148_arum,penilok,penilok,p ɛ n i l o k,,VonRosenberg1853,,,^ p e n i l o k $,default,penilok
Mentawai-149_kladdie-1,150,Mentawai,149_kladdie,meketteh,meketteh,m ɛ k ɛ t t ɛ ʔ,,VonRosenberg1853,,,^ m e k e t t e h$,default,mekette'
Mentawai-150_obie-1,151,Mentawai,150_obie,gobbie,gobbie,ɡ o b b i,,VonRosenberg1853,,,^ g o b b ie $,default,gobbi
Mentawai-151_durian-1,152,Mentawai,151_durian,doria,doria,d o r i a,,VonRosenberg1853,,,^ d o r i a $,default,doria
Mentawai-152_lemontree-1,153,Mentawai,152_lemontree,limau,limau,l i m a u,,VonRosenberg1853,,,^ l i m a u $,default,limau
Mentawai-153_manggostan-1,154,Mentawai,153_manggostan,mangie,mangie,m a ŋ i,,VonRosenberg1853,,,^ m a ng ie $,default,mangi
Mentawai-154_spanishpepper-1,155,Mentawai,154_spanishpepper,lahro,lahro,l a h r o,,VonRosenberg1853,,,^ l a h r o $,default,lahro
Mentawai-155_sirie-1,156,Mentawai,155_sirie,tjabbei,tjabbei,t͡ʒ a b b ɛ i,,VonRosenberg1853,,,^ tj a b b e i $,default,cabbei
Mentawai-156_bamboo-1,157,Mentawai,156_bamboo,mehgiab,mehgiab,m ɛ h ɡ i a b,,VonRosenberg1853,,,^ m e h g i a b $,default,me'giab
Mentawai-157_decay-1,158,Mentawai,157_decay,sahsa,sahsa,s a h s a,,VonRosenberg1853,,,^ s a h s a $,default,sahsa
Mentawai-158_shell-1,159,Mentawai,158_shell,sitapeijpeij,sitapeijpeij,s i t a p ɛi̯ p ɛi̯,,VonRosenberg1853,,,^ s i t a p eij p eij $,default,sitape:ipe:i
Mentawai-159_oyster-1,160,Mentawai,159_oyster,bohboket,bohboket,b o h b o k ɛ t,,VonRosenberg1853,,,^ b o h b o k e t $,default,bo'boket
Mentawai-160_mosquito-1,161,Mentawai,160_mosquito,legoe,legoe,l ɛ ɡ u,,VonRosenberg1853,,,^ l e g oe $,default,legu
Mentawai-161_at-1,162,Mentawai,161_at,manies,manies,m a n i s,,VonRosenberg1853,,,^ m a n ie s $,default,manis
Mentawai-162_honey-1,163,Mentawai,162_honey,manies,manies,m a n i s,,VonRosenberg1853,,,^ m a n ie s $,default,manis
Mentawai-163_wash-1,164,Mentawai,163_wash,lili,lili,l i l i,,VonRosenberg1853,,,^ l i l i $,default,lili
Mentawai-164_ant-1,165,Mentawai,164_ant,sigeb,sigeb,s i ɡ ɛ b,,VonRosenberg1853,,,^ s i g e b $,default,sigeb
Mentawai-165_lobster-1,166,Mentawai,165_lobster,singoemin,singoemin,s i ŋ u m i n,,VonRosenberg1853,,,^ s i ng oe m i n $,default,singumin
Mentawai-166_coral-1,167,Mentawai,166_coral,kobet,kobet,k o b ɛ t,,VonRosenberg1853,,,^ k o b e t $,default,kobet
Mentawai-167_fish-1,168,Mentawai,167_fish,iwah,iwah,i w a ʔ,,VonRosenberg1853,,,^ i w a h$,default,iwa'
Mentawai-168_snake-1,169,Mentawai,168_snake,sabah,sabah,s a b a ʔ,,VonRosenberg1853,,,^ s a b a h$,default,saba'
Mentawai-169_turtle-1,170,Mentawai,169_turtle,keijra,keijra,k ɛi̯ r a,,VonRosenberg1853,,,^ k eij r a $,default,ke:ira
Mentawai-170_crocodile-1,171,Mentawai,170_crocodile,koinan,koinan,k o i n a n,,VonRosenberg1853,,,^ k o i n a n $,default,koinan
Mentawai-171_bird-1,172,Mentawai,171_bird,oemeij,oemeij,u m ɛi̯,,VonRosenberg1853,,,^ oe m eij $,default,ume:i
Mentawai-172_birdsegg-1,173,Mentawai,172_birdsegg,etehloe,etehloe,ɛ t ɛ h l u,,VonRosenberg1853,,,^ e t e h l oe $,default,etehlu
Mentawai-173_fowl-1,174,Mentawai,173_fowl,gaugau,gaugau,ɡ a u ɡ a u,,VonRosenberg1853,,,^ g a u g a u $,default,gaugau
Mentawai-174_heron-1,175,Mentawai,174_heron,labeij,labeij,l a b ɛi̯,,VonRosenberg1853,,,^ l a b eij $,default,labe:i
