ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
247	blikobat	b l i k o b a t	blikobat	b l i k o b a t	blikobat	spiegel	mirror	MIRROR	1171	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
248	komang	k o m a ng	komang	k o m a ŋ	komaŋ	katoen	cotton	COTTON	1850	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
249	inoe	i n u	inu	i n u	inu	glasparels	glass beads	BEAD	1860	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
250	nab-nab	n a b - n a b	nab-nab	n a b - n a b	nab-nab	schaar	scissors	SHEARS	356	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
251	pingolab	p i ng o l a b	pingolab	p i ŋ o l a b	piŋolab	naald	needle	NEEDLE (FOR SEWING)	1382	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
252	petie	p e t i	peti	p ɛ t i	pɛti	kist	chest	BOX	1465	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
253	bliok	b l i o k	bliok	b l i o k	bliok	bijl	axe	AXE	677	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
254	tahko	t a h k o	tahko	t a h k o	tahko	kanon	cannon	CANNON	3202	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
255	moneij	m o n e:i	mone:i	m o n ɛi̯	monɛi̯	lading	load	LOAD	1679	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
256	mantgeb	m a n t g e b	mantgeb	m a n t ɡ ɛ b	mantɡɛb	morgen	tomorrow	TOMORROW	1329	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
257	korreh	k o r r e '	korre'	k o r r ɛ ʔ	korrɛʔ	kikvorsch	frog	FROG	503	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
258	batteh	b a t t e '	batte'	b a t t ɛ ʔ	battɛʔ	leguaan	iguana	IGUANA	1578	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
259	aloebat	a l u b a t	alubat	a l u b a t	alubat	duizendpoot	centipede	CENTIPEDE	1974	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
260	rateij	r a t e:i	rate:i	r a t ɛi̯	ratɛi̯	begraafplaats	cemetery	GRAVEYARD	3284	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
261	poeloe	p u l u	pulu	p u l u	pulu	tien	ten	TEN	1515	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
262	dongapoeloe	d o ng a p u l u	dongapulu	d o ŋ a p u l u	doŋapulu	twintig	twenty	TWENTY	1710	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
263	telongapoeloe	t e l o ng a p u l u	telongapulu	t ɛ l o ŋ a p u l u	tɛloŋapulu	dertig	thirty	THIRTY	1715	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
264	ebatnapoeloe	e b a t n a p u l u	ebatnapulu	ɛ b a t n a p u l u	ɛbatnapulu	veertig	forty	FORTY	1716	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
265	pitongapoeloe	p i t o ng a p u l u	pitongapulu	p i t o ŋ a p u l u	pitoŋapulu	zeventig	seventy	SEVENTY	1721	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
266	walongapoeloe	w a l o ng a p u l u	walongapulu	w a l o ŋ a p u l u	waloŋapulu	tachtig	eighty	EIGHTY	1722	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
267	siwanongpoeloe	s i w a n o ng p u l u	siwanongpulu	s i w a n o ŋ p u l u	siwanoŋpulu	negentig	ninety	NINETY	1724	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
268	singotoe	s i ng o t u	singotu	s i ŋ o t u	siŋotu	een honderd	one hundred	HUNDRED	1634	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
269	dongenotoe	d o ng e n o t u	dongenotu	d o ŋ ɛ n o t u	doŋɛnotu	twee honderd	two hundred	TWO HUNDRED	2676	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
