ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
50	oereij	u r e:i	ure:i	u r ɛi̯	urɛi̯	zingen	sing	SING	1261	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
51	djina	j i n a	jina	d͡ʒ i n a	d͡ʒina	duiken	diving	DIVE	119	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
52	kapira	k a p i r a	kapira	k a p i r a	kapira	visschen	fishing	FISHING	2638	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
53	kaliba	k a l i b a	kaliba	k a l i b a	kaliba	vergeten	forgotten	FORGET	1523	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
54	nobno	n o b n o	nobno	n o b n o	nobno	vragen	ask	ASK (INQUIRE)	1309	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
55	ake	a k e	ake	a k ɛ	akɛ	brengen	bring	BRING	692	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
56	mabehoola	m a b e h o o l a	mabehoola	m a b ɛ h o o l a	mabɛhoola	wachten	wait	WAIT (FOR)	1590	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
57	momoilejoe	m o m o i l e y u	momoileyu	m o m o i l ɛ j u	momoilɛju	kunnen	can	BE ABLE	972	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
58	elejoe	e l e y u	eleyu	ɛ l ɛ j u	ɛlɛju	zijn	its	HIS OR HER	2092	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
59	kawat	k a w a t	kawat	k a w a t	kawat	worden	become	BECOME	1990	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
60	baramata	b a r a m a t a	baramata	b a r a m a t a	baramata	levendig	alive	BE ALIVE	1422	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
61	matean	m a t e a n	matean	m a t ɛ a n	matɛan	dood	dead	DEAD	1625	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
